model,win_rate_mean,win_rate_std,player_win_mean,player_win_std,draw_mean,draw_std,reward_mean,reward_std,moves_mean,moves_std
Full Model,59.2,1.3038404810405333,40.6,1.6733200530681516,0.2,0.447213595499958,1.866,0.3078636061635087,8.986,0.10382677881933955
Without Adaptive Difficulty,74.0,5.244044240850758,26.0,5.244044240850758,0.0,0.0,4.8,1.0488088481701519,8.447999999999999,0.1538505768594969
Without Q-Learning,59.8,1.923538406167138,40.2,1.9235384061671346,0.0,0.0,1.9600000000000002,0.3847076812334269,8.894,0.28201063809721816
Without Tactical Policy,40.4,3.5071355833500357,59.6,3.5071355833500357,0.0,0.0,-1.92,0.7014271166700072,9.78,0.19013153341831507
