model,win_rate_mean,win_rate_std,player_win_mean,player_win_std,draw_mean,draw_std,reward_mean,reward_std,moves_mean,moves_std
Full Model,40.2,1.7888543819998317,59.8,1.788854381999837,0.0,0.0,-1.9600000000000002,0.35777087639996635,6.7540000000000004,0.15420765220960997
Without Adaptive Difficulty,13.8,3.7013511046643495,86.2,3.7013511046643486,0.0,0.0,-7.24,0.7402702209328693,6.773999999999999,0.1375863365309216
Without Q-Learning,42.0,1.0,58.0,1.0000000000000042,0.0,0.0,-1.6,0.20000000000000007,6.779999999999999,0.12609520212918457
Without Tactical Policy,1.8,1.6431676725154984,98.2,1.6431676725154976,0.0,0.0,-9.64,0.32863353450310007,6.678,0.16843396332094057
